episode_id,symbol,candidate_date,conflict_class,quarantine_reason,source_forensic_artifact
000045:20260121:1364,000045,2026-01-23,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002890:20260121:1628,002890,2026-01-23,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600732:20260123:1474,600732,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600173:20260126:871,600173,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600589:20260126:1054,600589,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
000607:20260123:504,000607,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600498:20260123:4182,600498,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
001203:20260123:3315,001203,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002780:20260123:1672,002780,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600118:20260123:10890,600118,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002088:20260123:1287,002088,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
001400:20260123:12157,001400,2026-01-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
000703:20260323:1184,000703,2026-03-24,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002316:20260324:520,002316,2026-03-26,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600191:20260325:1198,600191,2026-03-26,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603217:20260326:2468,603217,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603938:20260325:2444,603938,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
601975:20260324:483,601975,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603629:20260325:6268,603629,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002692:20260326:598,002692,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603042:20260325:2125,603042,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
000889:20260325:354,000889,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603052:20260325:6565,603052,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
000659:20260325:417,000659,2026-03-27,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603132:20260327:1673,603132,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002782:20260326:2616,002782,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603090:20260327:6544,603090,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600268:20260327:1499,600268,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603002:20260327:1034,603002,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002272:20260327:1766,002272,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
601515:20260326:441,601515,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002773:20260327:2765,002773,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600769:20260327:1360,600769,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
001313:20260327:756,001313,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002755:20260327:1539,002755,2026-03-30,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603083:20260408:11155,603083,2026-04-10,ACCEPTANCE_CHANGED,3D_PROVENANCE_CONFLICT:ACCEPTANCE_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603992:20260611:3191,603992,2026-06-12,S1_TOUCH_RESOLUTION_CHANGED,3D_PROVENANCE_CONFLICT:S1_TOUCH_RESOLUTION_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600405:20260630:452,600405,2026-07-01,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600801:20260703:1811,600801,2026-07-06,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002518:20260630:5359,002518,2026-07-06,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603818:20260702:340,603818,2026-07-06,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
000972:20260702:369,000972,2026-07-06,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
605377:20260706:970,605377,2026-07-07,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
600143:20260703:1701,600143,2026-07-07,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
601678:20260702:770,601678,2026-07-08,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
001287:20260706:3147,001287,2026-07-08,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
002815:20260706:1636,002815,2026-07-08,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603087:20260706:6709,603087,2026-07-08,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603020:20260706:1469,603020,2026-07-08,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
001206:20260707:1954,001206,2026-07-08,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
603090:20260706:5480,603090,2026-07-08,PATTERN_CHANGED,3D_PROVENANCE_CONFLICT:PATTERN_CHANGED,research/second_launch/outcome_v01/case_provenance_conflicts_v01.csv
